num,title,id,year,time,limit,img,rate,vote,url,douban
37,The Lion King,tt0110357,1994,1h 28m,G,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,1.1M,https://www.imdb.com/title/tt0110357,59
38,Léon,tt0110413,1994,1h 50m,R,"https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.5,1.2M,https://www.imdb.com/title/tt0110413,5
39,American History X,tt0120586,1998,1h 59m,R,"https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,1.2M,https://www.imdb.com/title/tt0120586,
40,The Departed,tt0407887,2006,2h 31m,(Banned),"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY207_CR0,0,140,207_.jpg",8.5,1.4M,https://www.imdb.com/title/tt0407887,
41,Whiplash,tt2582802,2014,1h 46m,R,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,931K,https://www.imdb.com/title/tt2582802,191
42,Oppenheimer,tt15398776,2023,3h,R,"https://m.media-amazon.com/images/M/MV5BZDQ1MTA1NGYtMWI3Zi00M2ViLWIzZmEtZDMyYTRkMDNlNDZmXkEyXkFqcGdeQXVyNTk4MTA5OTg@._V1_QL75_UX140_CR0,7,140,207_.jpg",8.6,433K,https://www.imdb.com/title/tt15398776,
43,The Prestige,tt0482571,2006,2h 10m,PG-13,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,1.4M,https://www.imdb.com/title/tt0482571,82
44,The Usual Suspects,tt0114814,1995,1h 46m,R,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.5,1.1M,https://www.imdb.com/title/tt0114814,
45,Hotaru no haka,tt0095327,1988,1h 29m,Not Rated,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.5,295K,https://www.imdb.com/title/tt0095327,220
46,Seppuku,tt0056058,1962,2h 13m,Not Rated,"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY207_CR6,0,140,207_.jpg",8.6,64K,https://www.imdb.com/title/tt0056058,
47,Casablanca,tt0034583,1942,1h 42m,PG,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UX140_CR0,2,140,207_.jpg",8.5,592K,https://www.imdb.com/title/tt0034583,
48,Intouchables,tt1675434,2011,1h 52m,R,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,898K,https://www.imdb.com/title/tt1675434,23
